qRFfPUPlWoo#64	"A no ser que gane la selección el mundial y, entonces, durante unos días la gente se exalta.
Pero es muy raro, ¿no?
La gente no va con la bandera por la calle."	Aquí apenas, fuera del balcón de un Ayuntamiento, fuera de una embajada, fuera de un sitio gubernamental, es muy difícil encontrar.	1
AWIXgHaliSQ#106	"""Viene el mozo y le dice: """"¿Qué se va a servir?""""""
""Le dice: """"Un té con limón"""".""
""Se dio vuelta, miró a los banqueros, y les dice: """"¿Lo de siempre, no?"""""""	Entonces recibe a los banqueros, se tuvo que levantar, le pidió a la secretaria que por favor convoque al mozo.	1
sMuL8qCf_S8#97	"Es una fiesta que vertebra toda la sociedad, toda la comunidad, y a gente de todas las ideologías y todas las edades.
Y, sobre todo, tenemos el mayor micro-mecenazgo artístico que existe en el mundo.
Tenemos más de mil presupuestos artísticos para generar arte en la calle."	Ha sobrevivido en medio de la ciudad, sin tener que irnos al desierto a montarla, aunque algunos querrían que nos fuéramos.	1
hhpzLTTChfw#25	"En México hay poco más de 10 000 adolescentes en conflicto con la ley.
Se divide en dos, los adolescentes que cometieron un delito grave, y por ende cumplirán su medida a la mal llamada correccional.
Si no es un delito grave, pueden cumplir su sentencia desde su casa o en libertad."	Los criminales no nacen, los hace la sociedad.	1
tnJ7YS5x3EM#22	"Yo conocía ese lugar, porque había pasado por ahí cientos de veces, pero nunca me había detenido a pensar quiénes eran las personas que iban ahí adentro, ni tampoco qué hacían esas mujeres que esperaban ahí.
Como a las 11 de la noche subieron a mi hijo a uno de esos camiones.
Lo llevaron a Ezeiza, a una cárcel de máxima seguridad."	Me quedé sentada todo el día enfrente de Tribunales mirando un portón donde entran y salen camiones grises del servicio penitenciario.	1
pWQ7Mdv8Zak#26	"Es aquella ciencia que se encarga de decirnos qué va a pasar a corto y medio plazo a partir de lo que está pasando ahora.
A partir de aquí, nosotros lo convertimos en posibilidades.
Les pongo un ejemplo muy sencillo: Quizá ahora algunos me acusen de hacer apología del alcohol pero lo siento si va a ser así."	En la sociología tenemos una ciencia que se llama perspectiva, que es la bruja Lola de la sociología.	1
akmP-ZwHYiM#119	"No investiga porque sea rico, un país es rico porque investiga.
La ciencia es el motor del progreso, eso está clarísimo.
Pero además, la ciencia y su divulgación científica, puesto que lo decía al principio: si la ciencia no se molesta en llegar a la sociedad, y de eso sabemos mucho los que nos dedicamos a la docencia, a la investigación, a la cultura científica, ya lo hará la pseudociencia."	España creo que es diferente y no investiga, pero bueno.	1
eA33KGMVopo#67	"Durante una semana esperé, ansiosamente, mis resultados.
Considerando todas las posibilidades, si solo tenía un mes, un año, hasta... ¿quién sabe?
Mi vida tenía que cambiar."	El mensaje que me llegó a mí fue cáncer.	1
OY-0tG9bD-c#60	"Se despliega una situación nueva, una situación de empatía, de denuncia, se entablan unas conversaciones, se mueven las mesas, se apartan sillas y el problema de la accesibilidad comienza a ser algo común.
Algunas veces, el propietario expresa su intención de solucionar el tema, -lo de bajar las copas, eso ni hablar- pero algún día pondrá una rampa, dice.
Un objeto tan corriente y tan simple como una mesa puede ser algo muy complicado, cuando ni tan siquiera una mesa de catálogo de ortopedia cumple los requerimientos de nuestra compañera Marga Alonso."	"""Bueno, en serio, no se trata de montar un pollo en plan """"escrache"""", se trata de generar una complicidad que cambie las miradas acerca de la accesibilidad de los comercios y locales, o sea que el problema deja de ser nuestro, para poder entrar, y pasa a involucrar a los propietarios y a la gente que está en el local."""	1
b_k_OUCn1g0#16	"Desde el intelecto, żes posible explicar una hormiga?
żYo puedo decir, desde el raciocinio, qué es una nube?
żPuedo explicar, desde la ciencia, desde la medicina, por qué enferma la gente?"	Apostamos a esta frase como algo posible, que pueda existir.	1
